Pitch,Yaw  ,Roll ,inBrL,otBrL,inBrR,otBrR,EyeOL,EyeOR,oLipH,iLipH,LipCDt,dicCoeff_local0,dicCoeff_local1,dicCoeff_local2,dicCoeff_local3,dicCoeff_local4,dicCoeff_local5,dicCoeff_local6,dicCoeff_local7,dicCoeff_local8,dicCoeff_local9,dicCoeff_local10,dicCoeff_local11,dicCoeff_local12,dicCoeff_local13,dicCoeff_local14,dicCoeff_local15,dicCoeff_local16,dicCoeff_local17,dicCoeff_local18,dicCoeff_local19,dicCoeff_local20,dicCoeff_local21,dicCoeff_local22,dicCoeff_local23,
0.868817,0.85963,0.845298,1.02331,1.03386,1.02342,1.02502,0.988058,0.988717,0.98795,0.951949,0.950722,-0.0915663,6.30404,-1.27644,-1.88489,1.40066,-1.54266,-0.139467,0.127595,-0.121069,-0.953696,0.763706,-0.569929,0.247327,0.566273,-0.575344,1.01436,0.128103,-0.00429865,0.184683,0.0776921,-0.309854,-0.131724,-0.101848,0.0763485,
0.737676,0.719342,0.690456,1.04656,1.06707,1.04699,1.04867,0.980269,0.981803,0.976202,0.90589,0.902348,-0.122517,6.31227,-1.25668,-2.05656,1.35635,-1.65114,-0.169185,0.192779,-0.128301,-0.952665,0.737413,-0.501705,0.16366,0.596376,-0.57276,1.02406,0.0990572,-0.00366863,0.24785,0.0798061,-0.315106,-0.122263,-0.0888496,0.0726232,
0.606934,0.578679,0.535388,1.0698,1.10015,1.07051,1.07199,0.973431,0.975967,0.964612,0.859505,0.853155,-0.145375,6.38211,-1.28077,-2.00686,1.33689,-1.69857,-0.15013,0.19528,-0.104893,-0.913838,0.699477,-0.493362,0.169468,0.565351,-0.586465,1.04049,0.0616209,-0.00509511,0.251813,0.0719392,-0.27687,-0.133409,-0.0968815,0.0778903,
0.475961,0.438309,0.380174,1.09264,1.13369,1.0936,1.09586,0.963955,0.967393,0.953387,0.814285,0.805024,-0.191114,6.30596,-1.2831,-2.12245,1.32056,-1.6841,-0.158282,0.209721,-0.108444,-0.902987,0.675041,-0.531747,0.182225,0.549745,-0.572758,1.05487,0.0880121,-0.0270137,0.264028,0.0621149,-0.309758,-0.139166,-0.110943,0.0745938,
0.344771,0.297975,0.225284,1.11583,1.16764,1.11723,1.11925,0.957671,0.962091,0.941834,0.76862,0.755083,-0.2146,6.44405,-1.3934,-2.12191,1.41476,-1.75606,-0.134773,0.249084,-0.0943922,-0.927541,0.675374,-0.520129,0.118343,0.602588,-0.548962,1.02047,0.0815109,0.0124298,0.261477,0.0599507,-0.311862,-0.119737,-0.0931496,0.078197,
0.213691,0.157595,0.0701245,1.13877,1.2016,1.14037,1.14223,0.949155,0.954435,0.929676,0.7198,0.705226,-0.136332,6.445,-1.38021,-2.11151,1.3534,-1.73952,-0.171367,0.260711,-0.0577384,-0.91778,0.670422,-0.532499,0.152389,0.637702,-0.593364,1.03804,0.071598,0.0109966,0.256866,0.0474961,-0.28256,-0.128224,-0.124062,0.0694104,
0.213582,0.157597,0.0697832,1.13804,1.2009,1.13998,1.13901,0.956709,0.962236,0.928872,0.718215,0.704955,-0.0715446,6.4465,-1.36686,-2.07093,1.31953,-1.78071,-0.122942,0.32483,-0.0458619,-0.856999,0.716229,-0.505505,0.13147,0.63908,-0.577909,1.0357,0.10613,0.0423713,0.262504,0.0495323,-0.297656,-0.139551,-0.0845217,0.0856097,
0.21273,0.157367,0.0696402,1.13751,1.20106,1.13935,1.13742,0.957831,0.963325,0.92858,0.719466,0.704998,-0.156102,6.34626,-1.30556,-2.10943,1.35427,-1.75204,-0.116351,0.304408,-0.0812731,-0.89991,0.734315,-0.537213,0.0688644,0.659493,-0.563912,1.01792,0.0897007,0.0323179,0.229268,0.0515625,-0.269029,-0.125911,-0.112163,0.0768588,
0.211325,0.15738,0.0696109,1.13689,1.20088,1.13877,1.13618,0.961257,0.966808,0.927309,0.71748,0.705365,-0.12578,6.42355,-1.35705,-2.07449,1.30438,-1.78714,-0.103491,0.344268,-0.0769349,-0.846992,0.726918,-0.512251,0.0658202,0.68103,-0.530166,1.03928,0.0448886,0.0130378,0.234714,0.0449108,-0.301817,-0.114083,-0.0922112,0.0719678,
0.21,0.157422,0.0698581,1.13617,1.19923,1.13821,1.13323,0.969186,0.974949,0.926442,0.717387,0.704942,-0.190828,6.41956,-1.32614,-2.10788,1.21175,-1.79125,-0.0785756,0.315185,-0.0514163,-0.930716,0.729026,-0.462279,0.0587943,0.640368,-0.49283,1.00711,0.0519529,-0.000550752,0.213702,0.0464962,-0.273908,-0.128337,-0.0760872,0.0836608,
0.209039,0.157352,0.0697773,1.13553,1.1979,1.13739,1.13213,0.970936,0.976952,0.92568,0.716585,0.705678,-0.153935,6.47393,-1.31049,-2.09754,1.23053,-1.84115,-0.134028,0.260276,-0.0398827,-0.920059,0.724969,-0.487179,0.118483,0.567527,-0.543223,1.04497,0.0185847,0.0199896,0.228643,0.0424712,-0.263341,-0.140139,-0.105339,0.0975402,
0.20799,0.157378,0.0699602,1.13445,1.19613,1.13632,1.13104,0.976187,0.982546,0.925241,0.717927,0.705917,-0.122376,6.49743,-1.30234,-2.05195,1.1582,-1.81852,-0.136712,0.261195,0.0506004,-0.836784,0.694769,-0.465537,0.134019,0.559076,-0.537455,1.064,0.0125443,0.0253789,0.249161,0.0443304,-0.250623,-0.150922,-0.1126,0.101809,
