Pitch,Yaw  ,Roll ,inBrL,otBrL,inBrR,otBrR,EyeOL,EyeOR,oLipH,iLipH,LipCDt,dicCoeff_local0,dicCoeff_local1,dicCoeff_local2,dicCoeff_local3,dicCoeff_local4,dicCoeff_local5,dicCoeff_local6,dicCoeff_local7,dicCoeff_local8,dicCoeff_local9,dicCoeff_local10,dicCoeff_local11,dicCoeff_local12,dicCoeff_local13,dicCoeff_local14,dicCoeff_local15,dicCoeff_local16,dicCoeff_local17,dicCoeff_local18,dicCoeff_local19,dicCoeff_local20,dicCoeff_local21,dicCoeff_local22,dicCoeff_local23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.883794,0.863143,0.824144,0.987408,0.983574,0.991663,1.00978,0.980025,0.990549,0.961949,0.917838,0.939131,4.77959,2.43101,-0.788649,2.81239,-0.17521,-1.47224,0.397053,0.155872,3.3256,1.05644,-1.16501,0.386458,1.30826,-1.21428,-1.00783,1.095,-2.17973,1.02921,-0.457927,0.526074,-0.114082,-0.0670651,0.670625,0.142688,
0.769405,0.726152,0.647342,0.976567,0.969592,0.985525,1.01902,0.958997,0.979972,0.923868,0.834057,0.880309,4.80269,2.16675,-0.856922,2.80943,0.015481,-1.79982,0.279127,0.26881,3.0255,0.930995,-0.988312,0.394873,1.38692,-1.071,-1.04663,1.07914,-2.09812,0.958635,-0.429459,0.554008,-0.158268,-0.00284508,0.69997,0.161767,
0.657357,0.587675,0.470065,0.966998,0.956669,0.981192,1.02683,0.936706,0.96774,0.887299,0.747461,0.821722,4.78027,2.09415,-0.956499,2.59958,0.185985,-1.91523,0.447462,0.334363,2.78535,0.729557,-0.847984,0.412235,1.44909,-1.01132,-1.10147,1.02124,-1.91406,0.857286,-0.413246,0.571395,-0.191866,0.0833308,0.724093,0.104891,
0.546948,0.447413,0.292629,0.958241,0.945706,0.977554,1.03456,0.914464,0.95539,0.851284,0.660543,0.757786,4.69913,2.33034,-1.18969,2.87488,0.3352,-2.04351,0.515079,0.231845,2.79507,0.814216,-0.783749,0.426927,1.4982,-0.971743,-1.15009,1.06704,-1.87256,0.87286,-0.444157,0.573218,-0.118268,0.01133,0.714473,0.0742017,
0.437513,0.305298,0.115502,0.950393,0.935225,0.974873,1.03961,0.892241,0.942835,0.815455,0.573466,0.69386,4.52395,2.55095,-1.26225,2.87143,0.267153,-2.19712,0.489595,0.289544,2.67188,0.718899,-0.813117,0.351123,1.49672,-0.891474,-1.18514,1.04619,-1.81125,0.841912,-0.420308,0.589144,-0.0793771,-0.0282023,0.696917,0.0713212,
0.328012,0.161489,-0.0608496,0.943078,0.925595,0.972588,1.04514,0.870505,0.930527,0.780851,0.486274,0.630152,4.33874,2.75476,-1.26365,2.81381,0.289942,-2.09564,0.462506,0.359218,2.65737,0.708415,-0.85166,0.2947,1.4626,-0.910851,-1.18883,1.00331,-1.77499,0.805353,-0.418171,0.570565,-0.0459569,-0.0703082,0.686467,0.0785572,
0.333943,0.153728,-0.0602946,0.950249,0.933528,0.979901,1.04459,0.867801,0.926124,0.785573,0.480094,0.627435,4.11327,3.04384,-1.28347,2.49728,0.419589,-1.65166,0.499413,0.398421,2.55215,0.566361,-0.903801,0.20257,1.42468,-0.907802,-1.14158,1.00253,-1.71739,0.751366,-0.40745,0.530907,-0.116601,-0.0541831,0.619803,0.0874552,
0.335783,0.144681,-0.0577347,0.959747,0.944568,0.988087,1.05208,0.860601,0.916044,0.791412,0.473899,0.623452,3.81974,2.94491,-1.40309,2.12814,0.710964,-1.15512,0.421991,0.268575,2.10841,0.529287,-1.42641,0.0985119,1.54641,-1.30744,-1.00807,1.27142,-1.50097,0.680574,-0.329068,0.346912,-0.188677,-0.0067237,0.360801,0.074358,
0.331856,0.136041,-0.0529884,0.971566,0.958192,0.997378,1.06345,0.852029,0.903593,0.794389,0.469063,0.620764,3.7497,3.21758,-1.43713,1.50507,0.861429,-0.603055,0.211674,0.0608889,1.9247,-0.345168,-1.89327,0.0116667,1.46662,-1.39793,-0.704632,1.16759,-1.355,0.548475,-0.289048,0.203173,-0.15909,-0.0573044,0.234925,0.125965,
