Pitch,Yaw  ,Roll ,inBrL,otBrL,inBrR,otBrR,EyeOL,EyeOR,oLipH,iLipH,LipCDt,dicCoeff_local0,dicCoeff_local1,dicCoeff_local2,dicCoeff_local3,dicCoeff_local4,dicCoeff_local5,dicCoeff_local6,dicCoeff_local7,dicCoeff_local8,dicCoeff_local9,dicCoeff_local10,dicCoeff_local11,dicCoeff_local12,dicCoeff_local13,dicCoeff_local14,dicCoeff_local15,dicCoeff_local16,dicCoeff_local17,dicCoeff_local18,dicCoeff_local19,dicCoeff_local20,dicCoeff_local21,dicCoeff_local22,dicCoeff_local23,
0.881157,0.849194,0.841579,0.973177,0.944012,0.975175,0.973248,1.0517,1.05584,0.980826,0.924011,0.936155,-1.22693,8.43178,-3.2872,0.145101,-5.05169,0.950314,-1.60469,3.37771,4.9954,0.390543,0.168463,0.583191,-0.967963,-2.46442,-0.554382,0.384758,-0.568955,-0.854957,-0.360995,0.354544,0.850255,-0.219929,0.533805,0.0192184,
0.760991,0.697692,0.681376,0.946305,0.878584,0.950915,0.930344,1.12668,1.13396,0.963259,0.853345,0.869677,-1.57079,8.41627,-3.56157,0.826738,-5.18956,0.894466,-1.21983,3.84964,4.9954,0.413916,0.190324,0.743427,-1.1646,-2.26173,-0.414703,0.39442,-0.197562,-0.806463,-0.174223,0.399791,0.829802,-0.221919,0.619282,-0.030424,
0.639156,0.5454,0.520317,0.917865,0.793492,0.924791,0.862169,1.19834,1.20858,0.948702,0.791296,0.801243,-2.14927,7.87671,-4.06587,1.8805,-5.90373,0.492721,-0.897003,4.23138,4.9954,0.0865793,0.176046,0.648122,-1.18979,-2.37267,-0.627979,0.498646,-0.101289,-0.671819,-0.0454439,0.372722,0.992126,-0.254424,0.490628,-0.0538345,
0.516773,0.393452,0.359355,0.890152,0.700842,0.899412,0.78394,1.25725,1.2713,0.934178,0.732324,0.749727,-2.12938,6.65717,-3.45344,2.35173,-6.29994,0.164066,-1.17704,3.93005,4.59166,-0.387154,0.392473,0.307922,-1.1918,-2.30636,-0.520935,0.2748,-0.204424,-0.767603,0.272831,0.191673,1.04698,-0.233783,0.57571,0.0210546,
0.393433,0.241197,0.198435,0.863873,0.595339,0.874823,0.688805,1.31965,1.3374,0.917458,0.674262,0.707682,-1.84798,5.65765,-3.23689,3.13763,-6.46832,-0.0882988,-1.02409,4.31402,4.2364,-0.344654,0.450729,0.15744,-1.26698,-2.38188,-0.614722,0.351223,-0.169997,-0.659418,0.683858,0.112806,1.25136,-0.339871,0.458721,-0.0850218,
0.270659,0.0888828,0.036961,0.838613,0.491544,0.851899,0.595322,1.37652,1.39824,0.896639,0.614021,0.67474,-1.49861,5.01852,-2.95424,3.26448,-6.46832,-0.132703,-1.31217,4.0113,3.84336,-0.518107,0.421082,0.0291425,-1.25507,-2.28522,-0.534958,0.30434,-0.125269,-0.720259,0.723077,0.133796,1.09721,-0.286987,0.570704,0.00114644,
0.266772,0.0868591,0.0336759,0.83941,0.44133,0.853497,0.527951,1.38202,1.40376,0.895644,0.626903,0.705447,-1.69423,5.07475,-3.20689,3.40054,-6.46832,-0.121565,-1.25757,3.99066,3.75936,-0.435386,0.362634,-0.107608,-1.29754,-2.37177,-0.578388,0.0756508,-0.1366,-0.693767,0.737388,0.180994,0.981663,-0.306484,0.622186,-0.0182863,
0.264959,0.0851877,0.0314539,0.841377,0.400286,0.855263,0.47713,1.36959,1.39314,0.893195,0.634097,0.740154,-1.67354,5.3082,-3.09181,3.39129,-6.46832,-0.475353,-1.37413,4.12128,3.81987,-0.563128,0.237503,-0.0826401,-1.31366,-2.53933,-0.549147,0.0170896,-0.293797,-0.779535,0.796637,0.177122,0.914373,-0.29941,0.552936,0.0784592,
0.264885,0.0833707,0.0302657,0.843845,0.380392,0.858177,0.452787,1.35934,1.38445,0.888659,0.634776,0.776362,-1.83111,5.28404,-3.1169,3.34807,-6.46832,-0.261603,-1.2365,4.11175,3.84321,-0.206398,0.240381,-0.141696,-1.30595,-2.37271,-0.536749,0.119324,-0.235483,-0.742302,0.795148,0.165465,0.922584,-0.315505,0.614647,0.0415256,
0.265571,0.0811096,0.0289388,0.846105,0.36558,0.860816,0.436312,1.35391,1.38003,0.885959,0.634668,0.78909,-2.11556,5.64683,-3.3774,3.3343,-6.46832,-0.273798,-1.05027,4.20128,3.95139,-0.377525,0.00621744,-0.220023,-1.27574,-2.36367,-0.635846,0.303985,-0.395264,-0.747692,0.823298,0.183321,0.968752,-0.271116,0.608444,-0.0275598,
0.267127,0.0783942,0.0269001,0.847845,0.362886,0.863188,0.437421,1.36113,1.38791,0.885147,0.635745,0.788705,-2.15792,6.05327,-3.37708,3.17345,-6.46832,-0.0798571,-0.696902,4.05568,3.8214,-0.147204,0.11704,-0.0510518,-1.38006,-2.26425,-0.620665,0.359349,-0.363431,-0.617349,0.826776,0.281525,0.942295,-0.250953,0.531447,-0.0389398,
0.267505,0.0755421,0.0261053,0.847874,0.359255,0.863509,0.435398,1.36502,1.39234,0.891722,0.644275,0.775489,-2.54975,6.27604,-3.55434,3.15529,-6.46832,-0.174009,-0.908715,4.16162,4.02735,-0.575274,0.139997,-0.0802,-1.39085,-2.16762,-0.669103,0.228655,-0.351677,-0.525954,0.662798,0.217533,0.968178,-0.237095,0.625757,-0.0298462,
0.267008,0.0728635,0.0259259,0.848902,0.358219,0.864154,0.435446,1.37453,1.40166,0.896299,0.65055,0.761105,-2.45156,6.34621,-3.61627,3.21053,-6.46832,0.121199,-0.898828,3.97614,3.94431,-0.513484,0.319386,1.15929e-06,-1.46201,-2.22753,-0.663678,0.142722,-0.276754,-0.429248,0.603179,0.152029,1.03681,-0.196202,0.581988,-0.0524712,
0.265145,0.0708494,0.0264319,0.848621,0.357012,0.863605,0.433831,1.37936,1.40539,0.902815,0.654307,0.731585,-2.76782,6.94082,-4.4098,3.14496,-6.25101,0.0616105,-0.551226,4.11111,4.17516,-0.600049,0.400651,0.0792851,-1.44508,-2.17784,-0.725657,0.211897,-0.292284,-0.267597,0.511059,0.0903954,1.0668,-0.17084,0.535893,-0.12664,
0.26322,0.0694152,0.0261035,0.849183,0.355203,0.863827,0.433011,1.3822,1.40787,0.905235,0.648818,0.687879,-2.32543,7.61084,-4.89736,3.21726,-6.07875,-0.0584795,-0.431755,3.82361,4.69077,-0.693314,0.21678,0.29679,-1.47778,-2.14377,-0.920767,0.512005,-0.339649,-0.230763,0.483683,0.24593,0.919746,-0.110737,0.554405,-0.107477,
0.260884,0.068635,0.0253403,0.849025,0.356995,0.863327,0.433905,1.38983,1.41479,0.903038,0.638599,0.6466,-2.05592,7.63821,-5.11122,3.22906,-6.00571,-0.265615,-0.416862,3.65548,4.85606,-0.834362,0.285269,0.33121,-1.49574,-2.11183,-0.916687,0.592797,-0.300813,-0.134695,0.478741,0.237391,0.903487,-0.101866,0.524053,-0.0755972,
0.258194,0.0687574,0.0246933,0.847874,0.359923,0.862383,0.435079,1.38154,1.4063,0.898214,0.620907,0.603809,-1.61899,7.62872,-5.3888,3.17209,-5.87394,-0.303219,-0.227795,3.48055,4.87396,-0.927122,0.296498,0.500111,-1.44061,-2.11797,-0.958872,0.713633,-0.260116,-0.1048,0.39321,0.291881,0.84004,-0.111925,0.539165,-0.111275,
0.255301,0.0687195,0.0226222,0.847823,0.361954,0.862072,0.438583,1.38546,1.40991,0.888161,0.595222,0.567079,-1.2813,7.52651,-5.31522,3.01154,-5.72392,-0.245589,-0.232633,3.65581,4.83681,-1.05495,0.352093,0.524249,-1.54358,-2.12333,-0.947244,0.625598,-0.291243,-0.13922,0.364176,0.244882,0.806463,-0.107729,0.539105,-0.077422,
0.252912,0.069234,0.020344,0.847085,0.363611,0.860946,0.440439,1.38004,1.40487,0.879694,0.574635,0.538476,-1.00855,7.0639,-4.82462,2.93933,-5.87001,-0.335801,-0.305596,3.75486,4.75941,-0.908997,0.50045,0.546136,-1.4189,-2.1097,-1.02228,0.642525,-0.336706,-0.206925,0.355111,0.213068,0.863311,-0.132197,0.506882,-0.0965774,
0.250641,0.0701996,0.0181649,0.846209,0.364864,0.859784,0.441926,1.37411,1.39966,0.868876,0.557528,0.528402,-0.795552,6.68522,-4.55621,2.80769,-5.9383,-0.461956,-0.261088,3.78228,4.68771,-0.856422,0.547201,0.573831,-1.45363,-2.16652,-1.03456,0.656025,-0.365686,-0.255285,0.395394,0.177022,0.948325,-0.157352,0.47699,-0.101757,
0.248167,0.0716967,0.0164812,0.844885,0.363297,0.858018,0.437672,1.36814,1.39389,0.861111,0.54781,0.537399,-0.643749,6.39771,-4.30267,2.63501,-6.14028,-0.430108,-0.0636981,3.73581,4.57745,-0.880373,0.552596,0.528324,-1.45444,-2.11363,-1.11847,0.672,-0.313541,-0.263312,0.410324,0.148784,1.03367,-0.13406,0.474437,-0.104728,
0.2458,0.0723868,0.015316,0.843359,0.361357,0.856097,0.43335,1.35833,1.384,0.855767,0.540654,0.552372,-0.483532,6.09387,-4.18151,2.68921,-6.07974,-0.403353,-0.121827,3.64951,4.62223,-0.908298,0.527402,0.46641,-1.42528,-2.00091,-1.15077,0.623801,-0.282867,-0.262774,0.446382,0.183867,1.03443,-0.128198,0.460278,-0.127547,
0.243988,0.0728777,0.0146137,0.842283,0.359091,0.854531,0.427859,1.34742,1.37295,0.853458,0.539468,0.575108,-0.333427,5.95091,-3.98514,2.63218,-6.01463,-0.383118,-0.0847392,3.69759,4.56689,-0.979971,0.487568,0.46454,-1.49047,-1.99639,-1.20613,0.622886,-0.262697,-0.289075,0.412724,0.160743,1.02116,-0.122062,0.467475,-0.0964388,
0.243078,0.0738196,0.0147026,0.841263,0.357934,0.853154,0.422123,1.3367,1.36216,0.85302,0.541887,0.598507,-0.165507,5.74207,-3.72322,2.74502,-5.92797,-0.47036,-0.147353,3.74499,4.52548,-0.889707,0.448544,0.524436,-1.49849,-2.00744,-1.18864,0.610256,-0.270974,-0.309503,0.42058,0.161168,1.01432,-0.12956,0.465565,-0.0850791,
0.242379,0.0746073,0.0143964,0.840798,0.355845,0.852673,0.415975,1.33001,1.35542,0.852507,0.545017,0.618998,-0.207554,5.55957,-3.57509,2.71002,-6.08232,-0.483452,-0.201297,3.75439,4.35834,-0.877148,0.461557,0.527914,-1.52273,-2.06425,-1.19527,0.630298,-0.284151,-0.349381,0.41289,0.134735,1.02301,-0.116257,0.469116,-0.0864249,
0.242246,0.0744458,0.0140019,0.840637,0.357301,0.852724,0.413554,1.3185,1.34339,0.852371,0.547224,0.63778,-0.140978,5.48101,-3.43056,2.56136,-5.94949,-0.361118,-0.36414,3.75478,4.35687,-1.08711,0.440878,0.454138,-1.50929,-2.0071,-1.17563,0.407235,-0.251216,-0.385004,0.3581,0.16507,1.03415,-0.0976079,0.47772,-0.0640462,
0.242151,0.0745036,0.0137034,0.840215,0.357231,0.852363,0.412602,1.3149,1.3398,0.852093,0.550299,0.653538,0.038857,5.2989,-3.3051,2.50489,-6.09066,-0.45469,-0.177225,3.88812,4.47077,-0.926203,0.416558,0.555317,-1.54897,-2.06124,-1.15709,0.569125,-0.293317,-0.410548,0.416935,0.150973,0.968978,-0.134153,0.468865,-0.0635656,
0.241839,0.0749271,0.0132403,0.839871,0.357951,0.85235,0.414503,1.31099,1.33618,0.851505,0.552346,0.667024,0.237503,5.11969,-3.29274,2.508,-5.93211,-0.440752,-0.226412,3.87343,4.57445,-0.943002,0.431657,0.526742,-1.44924,-2.13297,-1.1618,0.597378,-0.249952,-0.453853,0.425795,0.190913,0.951052,-0.116116,0.503594,-0.0807676,
0.241645,0.0757984,0.0131215,0.839266,0.360036,0.852128,0.418798,1.31159,1.33714,0.849345,0.553109,0.677538,0.642424,4.98925,-3.14123,2.48448,-5.70731,-0.424078,-0.0658291,3.88246,4.69192,-0.762539,0.350187,0.599719,-1.3311,-2.15248,-1.09215,0.697283,-0.260327,-0.426143,0.509551,0.192877,0.912302,-0.139023,0.506843,-0.0561241,
0.24141,0.077372,0.0128816,0.83792,0.359802,0.851163,0.420929,1.30935,1.33516,0.845575,0.552428,0.68553,0.876373,4.84722,-3.09535,2.39664,-5.74038,-0.45372,0.0608371,3.82458,4.73658,-0.83673,0.255708,0.62251,-1.2946,-2.19105,-1.00206,0.727834,-0.287479,-0.422274,0.592806,0.201138,0.928567,-0.134391,0.467762,-0.0903674,
0.241142,0.0797633,0.0125471,0.836179,0.360576,0.849733,0.421961,1.30292,1.3285,0.840407,0.550173,0.691723,1.08518,4.6763,-3.06438,2.20635,-5.73095,-0.472464,0.0598922,3.78851,4.74311,-1.11745,0.260887,0.595356,-1.31934,-2.08001,-0.956746,0.622722,-0.226854,-0.473069,0.600974,0.226155,0.893386,-0.176125,0.443058,-0.105468,
0.240593,0.0827914,0.0123606,0.834173,0.3602,0.848179,0.422151,1.29903,1.32449,0.835146,0.54833,0.696562,1.29796,4.5123,-2.86633,2.14497,-5.60538,-0.447881,0.184844,3.79152,4.83256,-1.1289,0.269659,0.586405,-1.30784,-2.08942,-0.900166,0.628081,-0.157125,-0.523771,0.569643,0.197664,0.870967,-0.180318,0.464505,-0.0971605,
