Pitch,Yaw  ,Roll ,inBrL,otBrL,inBrR,otBrR,EyeOL,EyeOR,oLipH,iLipH,LipCDt,dicCoeff_local0,dicCoeff_local1,dicCoeff_local2,dicCoeff_local3,dicCoeff_local4,dicCoeff_local5,dicCoeff_local6,dicCoeff_local7,dicCoeff_local8,dicCoeff_local9,dicCoeff_local10,dicCoeff_local11,dicCoeff_local12,dicCoeff_local13,dicCoeff_local14,dicCoeff_local15,dicCoeff_local16,dicCoeff_local17,dicCoeff_local18,dicCoeff_local19,dicCoeff_local20,dicCoeff_local21,dicCoeff_local22,dicCoeff_local23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.87132,0.862751,0.863401,0.992421,1.01004,0.992803,1.04684,0.968622,0.97021,0.969554,0.896183,0.938448,0.31063,3.46455,-4.33018,-0.12128,-1.33217,2.52336,-3.15668,-0.599666,1.33992,-0.499385,1.60224,0.449709,1.65338,-0.832286,0.246893,0.838744,-0.514383,-0.159458,-0.84766,-0.379432,0.146955,-0.147181,0.751231,0.405157,
0.739384,0.732672,0.728998,1.00998,1.02765,1.01307,1.10713,0.929423,0.934893,0.927821,0.790803,0.882945,1.99622,4.15252,-2.65697,-1.40202,0.500593,1.77718,-2.2765,-2.57649,-0.701924,-1.88578,0.838664,-0.0624715,1.57018,-1.05699,0.156714,1.53611,-0.944053,0.343365,0.296377,-0.219251,-0.500641,-0.223117,0.949613,0.243432,
0.603494,0.605417,0.594246,1.0331,1.04946,1.03816,1.16293,0.90909,0.916181,0.885308,0.685499,0.836481,2.87154,3.59155,-1.72855,-1.01108,1.28403,2.57596,-2.08229,-1.94029,-0.877977,-1.75767,0.177897,0.121042,1.46264,-0.544636,0.098138,1.34674,-0.724138,0.338831,0.382789,-0.246215,-0.134931,-0.0894383,0.864005,0.176028,
0.465095,0.480768,0.459129,1.05392,1.06646,1.05779,1.21899,0.880774,0.887628,0.841997,0.584061,0.806806,2.87546,2.52713,-1.34155,-1.42979,0.888035,3.2008,-2.50329,-1.71752,-0.989406,-1.75373,-0.0514973,-0.0311086,1.19247,-0.961706,0.126501,1.14798,-0.585761,0.323869,0.346634,-0.339505,-0.212949,0.0324157,0.424269,0.179179,
0.32625,0.35555,0.323852,1.07437,1.08405,1.0749,1.26913,0.851293,0.85585,0.801681,0.489024,0.777281,2.64765,2.09023,-1.36819,-1.23066,0.8749,3.43785,-2.51405,-1.71897,-1.0052,-1.89037,0.00653531,0.0822276,1.15172,-0.586669,0.150538,1.00923,-0.314819,0.309731,0.204008,-0.27998,-0.0213647,-0.0472295,0.151667,0.0709588,
0.188441,0.229941,0.18828,1.0912,1.10093,1.08797,1.31757,0.810978,0.813009,0.764739,0.401151,0.745304,2.31972,1.79044,-1.51181,-0.979707,0.692248,3.42361,-2.64599,-1.71745,-0.693657,-1.43118,-0.100803,0.0636104,1.23571,-0.606347,-0.0198336,1.18704,-0.250402,0.314279,0.251455,-0.187137,-0.0618411,-0.0743362,0.0794766,0.057424,
0.177256,0.241828,0.187976,1.11197,1.10099,1.10529,1.3105,0.804006,0.802347,0.756921,0.41097,0.78351,2.65402,1.40813,-1.30956,-1.14819,0.257677,3.11449,-2.38725,-1.52494,-0.645552,-1.38341,-0.0552595,0.0286417,0.942269,-0.687877,-0.137428,1.03922,-0.238853,0.207788,0.266569,-0.260121,0.000141432,-0.068409,0.113304,0.0120507,
0.171383,0.246621,0.183013,1.11073,1.09269,1.09733,1.28943,0.810774,0.802727,0.761193,0.425658,0.808836,2.93692,1.75852,-1.43905,-1.40599,0.85619,3.17522,-2.07601,-1.16976,-0.569827,-1.44878,0.115303,0.156167,0.770455,-0.697273,-0.497605,1.10968,-0.14648,0.412615,0.256613,-0.204159,0.0501824,-0.0783304,-0.0119466,0.160888,
0.167432,0.248809,0.175776,1.10449,1.07764,1.08651,1.27388,0.81002,0.799234,0.765149,0.436972,0.833425,3.12798,2.07446,-0.995744,-1.9746,0.754802,2.88422,-1.76972,-0.760808,-0.691738,-1.57349,0.575081,0.140962,0.547345,-0.961453,-0.348314,0.993644,-0.237224,0.263631,0.221195,-0.296212,0.0976281,-0.0332257,0.169718,0.102435,
0.166429,0.247908,0.165415,1.10804,1.08429,1.09057,1.26817,0.804145,0.793691,0.767735,0.442226,0.838702,3.21407,2.96247,-0.735908,-2.21807,1.78164,2.11348,-1.46772,-0.845853,-1.13493,-1.7753,0.754766,-0.401967,0.588362,-0.98582,-0.27249,0.962785,-0.142211,0.439624,0.12889,-0.408784,0.192739,-0.0178756,0.361372,0.0157882,
